entry_time,exit_time,side,entry_price,exit_price,size,pnl,pnl_pct,exit_reason,confidence,strat_label,bars_held,ind_rsi_value,ind_macd_line,ind_macd_signal,ind_macd_hist,ind_volume,ind_atr_pct,ind_trend_bias,ind_efficiency_ratio,ind_base_regime_code,ind_htf_alignment_score,ind_entry_tf_state_code,ind_trend_tf_state_code,ind_anchor_tf_state_code,ind_regime_confidence,ind_regime_score_bull,ind_regime_score_bear,ind_regime_score_range,ind_regime_score_chop,ind_rsi,ind_bollinger,ind_macd,ind_reversal_bar,ind_entry_tf_neutrality,ind_bb_pos,ind_in_midzone,ind_quality_rr_ratio,ind_quality_atr_pct,ind_quality_volume_score,ind_quality_trend_extension_atr,ind_quality_bb_pos,ts,obj_regime,btc_close,bb_bucket,rsi_bucket,conf_dec,er_bucket
2025-04-14 20:15:00+00:00,2025-04-14 20:25:00+00:00,buy,84847.6026,84573.02661857143,1.3,-0.489096866647627,-0.4434166051024205,stop_loss,0.7096774193548387,range,2,44.55113178350902,17.095371932751732,57.81521540181904,-40.71984346906731,0.3,0.1865704326756211,0.0010451553124892,0.1086125968780693,0.0,0.0,0.0,0.0,0.0,0.6394916558781002,0.7105083441218998,0.0,1.0,0.4339525919121322,0.0,1.0,0.0,0.5,0.4,0.1033541253340478,0.0,0.7984063924879156,0.1865704326756211,0.3,0.0,0.1033541253340478,2025-04-14 20:15:00+00:00,sideways,84805.2,.1-.3,40-45,"(0.402, 0.736]","(0.0985, 0.135]"
2025-04-16 23:45:00+00:00,2025-04-16 23:50:00+00:00,buy,84201.2796,83999.95615428571,1.3,-0.3929174433169102,-0.3589543871573822,stop_loss,0.7096774193548387,range,1,38.14329723811798,-66.85556671915401,-37.06587373115063,-29.78969298800338,0.3,0.1160725319224942,-0.0005020762449763,0.1732670110324587,0.0,0.0,0.0,0.0,0.0,0.7831391248549862,0.1550850041568978,0.5668608751450138,1.0,0.2937351961407297,0.0,1.0,0.0,0.5,0.4,0.089782762614519,0.0,1.3333333333333748,0.1160725319224942,0.3,0.0,0.089782762614519,2025-04-16 23:45:00+00:00,sideways,84159.2,0-.1,30-40,"(0.736, 0.798]","(0.135, 0.179]"
2025-04-17 13:45:00+00:00,2025-04-17 14:00:00+00:00,buy,84491.0244,84220.97701714287,1.3,-0.4826569588196361,-0.4394248813338004,stop_loss,0.7096774193548387,range,3,46.418467750275234,-21.440867162993527,19.057181166557477,-40.49804832955101,0.3,0.1832386690430837,0.0004465998850722,0.1304256767370054,0.0,0.0,0.0,0.0,0.0,0.8545625370044275,0.4954374629955724,0.04800285674195,1.0,0.3978923456594068,0.0,1.0,0.0,0.5,0.4,0.0448094840119064,0.0,1.2925744707040976,0.1832386690430837,0.3,0.0,0.0448094840119064,2025-04-17 13:45:00+00:00,sideways,84448.8,0-.1,45-50,"(0.798, 0.862]","(0.0985, 0.135]"
2025-04-22 05:20:00+00:00,2025-04-22 05:30:00+00:00,buy,88099.8279,88154.670615,1.2,-0.0610919809308101,-0.0577867009760735,take_profit,0.7096774193548387,range,2,46.81307565625219,-15.396704673112254,14.310814552779366,-29.70751922589162,0.3,0.1271271820173764,0.0012075398041766,0.0257074738260626,0.0,0.0,0.0,0.0,0.0,0.6616171715968974,0.6883828284031026,0.0,1.0,0.5304224503971572,0.0,1.0,0.0,0.5,0.4,0.1158711747596314,0.0,1.0643078951845104,0.1271271820173764,0.3,0.0,0.1158711747596314,2025-04-22 05:20:00+00:00,sideways,88055.8,.1-.3,45-50,"(0.402, 0.736]","(-0.000746, 0.0308]"
2025-04-23 10:20:00+00:00,2025-04-23 11:50:00+00:00,buy,93621.3873,93349.17920428573,1.2,-0.461268522740216,-0.4105797261742208,stop_loss,0.935483870967742,range,18,33.33684377339476,-112.83882512577112,-14.97806644556115,-97.86075868020995,0.0,0.1591625444145267,0.0008441826107905,0.0963094393186636,0.0,0.0,0.0,0.0,0.0,0.6425365626559459,0.707463437344054,0.0,1.0,0.4379739791293743,1.0,1.0,0.0,0.5,0.4,0.0900841189841402,0.0,1.3333333333333606,0.1591625444145267,0.0,0.0,0.0900841189841402,2025-04-23 10:20:00+00:00,bull,93574.6,0-.1,30-40,"(0.402, 0.736]","(0.0653, 0.0985]"
2025-04-23 13:40:00+00:00,2025-04-23 13:45:00+00:00,buy,93490.02165,93729.2069525,1.2,0.1522245184062196,0.1356869568534498,take_profit,0.7419354838709676,range,1,42.126066900498,55.14855317438196,48.05610018232429,7.092452992057666,0.3,0.2512447961185337,0.0004067103715297,0.0358757177179644,0.0,0.0,0.0,0.0,0.0,0.7666910284140042,0.3446596229124367,0.0,1.0,0.5833089715859958,0.0,1.0,0.6,0.0,0.4,-0.0291640206604842,0.0,1.1812730720863265,0.2512447961185337,0.3,0.0,-0.0291640206604842,2025-04-23 13:40:00+00:00,bull,93443.3,,40-45,"(0.736, 0.798]","(0.0308, 0.0653]"
2025-04-24 17:30:00+00:00,2025-04-24 17:40:00+00:00,buy,92935.6446,92652.50485857142,1.2,-0.4733911573244436,-0.4244793618224962,stop_loss,0.7096774193548387,range,2,42.5599665884964,-42.50801482165116,34.46770304805761,-76.97571786970877,0.3,0.1707641238932291,0.0012632479273139,0.0242416759270669,0.0,0.0,0.0,0.0,0.0,0.6663458871767992,0.6836541128232008,0.0,1.0,0.5568671060449272,0.0,1.0,0.0,0.5,0.4,0.0376025426995036,0.0,1.333333333333308,0.1707641238932291,0.3,0.0,0.0376025426995036,2025-04-24 17:30:00+00:00,bull,92889.2,0-.1,40-45,"(0.402, 0.736]","(-0.000746, 0.0308]"
2025-04-24 21:35:00+00:00,2025-04-24 22:05:00+00:00,buy,93273.4134,93370.2865025,1.2,-0.0181357409297981,-0.0162030281626837,take_profit,0.7096774193548387,range,6,40.18490124073998,-14.04115696810186,22.303267516940625,-36.34442448504248,0.3,0.1350393418446833,0.0007511969545952,0.0544813695871148,0.0,0.0,0.0,0.0,0.0,0.8245498658091583,0.5254501341908416,0.0,1.0,0.4899171751252226,0.0,1.0,0.0,0.5,0.4,0.0606092920883923,0.0,1.2589739952717656,0.1350393418446833,0.3,0.0,0.0606092920883923,2025-04-24 21:35:00+00:00,bull,93226.8,0-.1,40-45,"(0.798, 0.862]","(0.0308, 0.0653]"
2025-04-26 07:55:00+00:00,2025-04-26 08:10:00+00:00,buy,94567.26,94392.28596142856,1.1,-0.3171847427631102,-0.3049150056248664,stop_loss,0.7419354838709676,range,3,47.01887804927232,12.36658152237942,12.36468140925643,0.0019001131229892,0.3,0.0709675956713625,-0.0001752314342712,0.1056751467710293,0.0,0.0,0.0,0.0,0.0,0.9757273976389794,0.1263203993713798,0.3139927121745757,1.0,0.3742726023610206,0.0,1.0,0.6,0.0,0.4,-0.0758039855762414,0.0,1.3333333333333333,0.0709675956713625,0.3,0.0,-0.0758039855762414,2025-04-26 07:55:00+00:00,bull,94520.0,,45-50,"(0.914, 1.0]","(0.0985, 0.135]"
2025-05-01 22:40:00+00:00,2025-05-01 23:00:00+00:00,buy,96472.4121,96239.17919571429,1.1,-0.3837458449694434,-0.361616187953831,stop_loss,0.7096774193548387,range,4,45.15302249897857,-24.09787852421869,-16.556651031859438,-7.541227492359248,0.3,0.118294251561628,-0.0004308073911314,0.036126629422721,0.0,0.0,0.0,0.0,0.0,0.8407480442443784,0.0,0.1962316476845195,1.0,0.5092519557556215,0.0,1.0,0.0,0.5,0.4,0.119286975458895,0.0,0.8997850001042477,0.118294251561628,0.3,0.0,0.119286975458895,2025-05-01 22:40:00+00:00,bull,96424.2,.1-.3,45-50,"(0.798, 0.862]","(0.0308, 0.0653]"
2025-05-05 20:15:00+00:00,2025-05-05 20:30:00+00:00,buy,94242.99795,94020.93744285716,1.1,-0.3685207552164136,-0.3554840950160561,stop_loss,0.935483870967742,range,3,31.96358416397632,-63.86742140236311,2.505278850097163,-66.37270025246028,0.0,0.1131759905230915,0.0006809395742986,0.1413209425821401,0.0,0.0,0.0,0.0,0.0,0.7688561058756085,0.5811438941243915,0.0076933666345259,1.0,0.3420641140997512,1.0,1.0,0.0,0.5,0.4,0.0942816884206559,0.0,1.3333333333333333,0.1131759905230915,0.0,0.0,0.0942816884206559,2025-05-05 20:15:00+00:00,bull,94195.9,0-.1,30-40,"(0.736, 0.798]","(0.135, 0.179]"
2025-05-06 20:40:00+00:00,2025-05-06 21:10:00+00:00,buy,94709.331,94499.27815285716,1.1,-0.3559358138980104,-0.3416537834424729,stop_loss,0.7096774193548387,range,6,35.501242355819315,-12.109498990132124,44.857721611667586,-56.96722060179971,0.3,0.1016322736231448,0.0013851753166848,0.0032184385382045,0.0,0.0,0.0,0.0,0.0,0.6645986851221358,0.6854013148778642,0.0,1.0,0.55147445131726,0.0,1.0,0.0,0.5,0.4,0.0170399534267465,0.0,1.3333333333332913,0.1016322736231448,0.3,0.0,0.0170399534267465,2025-05-06 20:40:00+00:00,bull,94662.0,0-.1,30-40,"(0.402, 0.736]","(-0.000746, 0.0308]"
2025-05-08 12:05:00+00:00,2025-05-08 12:35:00+00:00,buy,99436.19325,99227.70418571428,1.1,-0.3604561430218483,-0.3295454019677436,stop_loss,0.7096774193548387,range,6,40.05973974973766,-48.13128223513195,-18.941206649870953,-29.190075585260995,0.3,0.0915257964756649,0.0007747401829974,0.0825605066726974,0.0,0.0,0.0,0.0,0.0,0.6990065693351121,0.6509934306648879,0.0,1.0,0.4218292795521077,0.0,1.0,0.0,0.5,0.4,0.1181229261896141,0.0,1.3333333333333333,0.0915257964756649,0.3,0.0,0.1181229261896141,2025-05-08 12:05:00+00:00,bull,99386.5,.1-.3,40-45,"(0.402, 0.736]","(0.0653, 0.0985]"
2025-05-08 13:45:00+00:00,2025-05-08 13:55:00+00:00,buy,99135.543,99257.66062857142,1.1,0.0033898770337178,0.00310857872064,take_profit,0.7419354838709676,range,2,43.34574502340554,-49.545741533496766,-56.32333198688137,6.7775904533846045,0.3,0.1395973483352124,-0.0004056503631943,0.1687267918001885,0.0,0.0,0.0,0.0,0.0,0.9311444262488412,0.2841727254162934,0.4188555737511589,1.0,0.3137867320614775,0.0,1.0,0.6,0.0,0.4,-0.2561776992578972,0.0,1.3333333333333626,0.1395973483352124,0.3,0.0,-0.2561776992578972,2025-05-08 13:45:00+00:00,bull,99086.0,,40-45,"(0.914, 1.0]","(0.135, 0.179]"
2025-05-10 09:10:00+00:00,2025-05-10 09:35:00+00:00,buy,103494.5214,103644.74598857143,1.0,0.0259410281383081,0.0250651220831754,take_profit,0.7096774193548387,range,5,35.642256679727865,-11.91123372966831,52.58642470240837,-64.49765843207669,0.3,0.1533421645309566,0.001307611060351,0.1254853592800669,0.0,0.0,0.0,0.0,0.0,0.4235426628222044,0.9264573371777955,0.0,1.0,0.389149864530761,0.0,1.0,0.0,0.5,0.4,0.0378222455618499,0.0,1.33333333333341,0.1533421645309566,0.3,0.0,0.0378222455618499,2025-05-10 09:10:00+00:00,bull,103442.8,0-.1,30-40,"(0.402, 0.736]","(0.0985, 0.135]"
2025-05-10 14:25:00+00:00,2025-05-10 14:45:00+00:00,buy,103507.5279,103528.4148975,1.0,-0.103334568178502,-0.0998329013116175,take_profit,0.7096774193548387,range,4,44.224372080243086,-24.307852917641867,-10.45953624543398,-13.848316672207886,0.3,0.0844321922985474,-0.0001591192399072,0.0381655161469532,0.0,0.0,0.0,0.0,0.0,0.8627476925727519,0.0448975443971546,0.1141254395484838,1.0,0.4872523074272482,0.0,1.0,0.0,0.5,0.4,0.0428162591576599,0.0,1.186844113718527,0.0844321922985474,0.3,0.0,0.0428162591576599,2025-05-10 14:25:00+00:00,bull,103455.8,0-.1,40-45,"(0.862, 0.914]","(0.0308, 0.0653]"
2025-05-10 17:45:00+00:00,2025-05-10 18:15:00+00:00,buy,103266.50745,103147.2006,1.0,-0.243155074829979,-0.2354636375668179,stale_trade,0.7419354838709676,range,6,49.49782821826403,21.842363220319385,6.022942699835525,15.81942052048386,0.3,0.1112934552777064,-0.0002528099154669,0.0307478037283017,0.0,0.0,0.0,0.0,0.0,0.8363162509242918,0.0,0.1557303745384199,1.0,0.5136837490757081,0.0,1.0,0.6,0.0,0.4,0.0712461530816732,0.0,1.1224142934128682,0.1112934552777064,0.3,0.0,0.0712461530816732,2025-05-10 17:45:00+00:00,bull,103214.9,0-.1,45-50,"(0.798, 0.862]","(-0.000746, 0.0308]"
2025-05-11 13:30:00+00:00,2025-05-11 13:40:00+00:00,buy,104457.6027,104194.62805285717,1.0,-0.3881659855945514,-0.3716014685013936,stop_loss,0.7096774193548387,range,2,38.53544049422965,1.3913002089393558,50.51962934790722,-49.128329138967864,0.3,0.1266286445501289,0.0013011909096008,0.1383318544809158,0.0,0.0,0.0,0.0,0.0,0.4213166172523451,0.9286833827476548,0.0,1.0,0.3542922803431675,0.0,1.0,0.0,0.5,0.4,0.1111237522278781,0.0,1.1780755308230273,0.1266286445501289,0.3,0.0,0.1111237522278781,2025-05-11 13:30:00+00:00,bull,104405.4,.1-.3,30-40,"(0.402, 0.736]","(0.135, 0.179]"
2025-05-11 15:50:00+00:00,2025-05-11 17:20:00+00:00,buy,103914.63135,103716.3159,1.0,-0.3228940183499945,-0.3107300811783081,max_hold_bars,0.7419354838709676,range,18,42.88128563561877,-8.12736282584956,-10.95707077330939,2.8297079474598306,0.3,0.1758984285435059,-0.0002541821863213,0.1452570503305947,0.0,0.0,0.0,0.0,0.0,0.979446535166488,0.2544884642210437,0.3507492454897678,1.0,0.3705534648335119,0.0,1.0,0.6,0.0,0.4,0.0909652463917933,0.0,1.3333333333333557,0.1758984285435059,0.3,0.0,0.0909652463917933,2025-05-11 15:50:00+00:00,bull,103862.7,0-.1,40-45,"(0.914, 1.0]","(0.135, 0.179]"
2025-05-13 01:35:00+00:00,2025-05-13 02:05:00+00:00,buy,102248.49869999998,102411.63356750002,1.0,0.0403387881395336,0.0394517168001544,take_profit,0.7419354838709676,range,6,48.33861450769192,-42.08064281876432,-57.07773768870386,14.997094869939543,0.3,0.2167374121063755,-0.0002185591040729,0.1576826196473532,0.0,0.0,0.0,0.0,0.0,0.7906919766929306,0.0977028918902359,0.5593080233070694,1.0,0.3737047475495623,0.0,1.0,0.6,0.0,0.4,0.004417810801517,0.0,0.9987396538751248,0.2167374121063755,0.3,0.0,0.004417810801517,2025-05-13 01:35:00+00:00,bull,102197.4,0-.1,45-50,"(0.736, 0.798]","(0.135, 0.179]"
